NUTS_ID,sector,year,d_employment,d_employment_l1,d_emissions,d_emissions_l1,resid_core,resid_core_l1
NL112,B.E,2013,-0.4,0.0999999999999996,-197609,-788554,-0.172623351787025,0.240411989638562
NL112,B.E,2014,-0.3,-0.4,-125235,-197609,-0.376211131065557,-0.172623351787025
NL112,B.E,2015,0,-0.3,-233,-125235,-0.167803134410945,-0.376211131065557
NL112,B.E,2016,0.3,0,45368,-233,-0.121042420810724,-0.167803134410945
NL112,B.E,2017,0,0.3,-116926,45368,-0.43720401619851,-0.121042420810724
NL112,B.E,2018,0.1,0,4926,-116926,-0.34876062813523,-0.43720401619851
NL112,B.E,2019,0.1,0.1,-155496,4926,-0.310559422578847,-0.34876062813523
NL112,B.E,2020,0.2,0.1,821,-155496,0.755599493591698,-0.310559422578847
NL112,B.E,2021,-0.0999999999999996,0.2,100942,821,-0.122212816310488,0.755599493591698
NL112,B.E,2022,-0.2,-0.0999999999999996,-13955,100942,-0.607596965587484,-0.122212816310488
NL112,B.E,2023,0.1,-0.2,-52409,-13955,-0.00506556953025274,-0.607596965587484
NL113,B.E,2006,-0.5,,472223,,-0.536269759088134,
NL113,B.E,2007,-0.199999999999999,-0.5,-95851,472223,-0.397290396478416,-0.536269759088134
NL113,B.E,2008,0.5,-0.199999999999999,-206089,-95851,0.338354233199714,-0.397290396478416
NL113,B.E,2009,-0.600000000000001,0.5,1001826,-206089,0.991676376333402,0.338354233199714
NL113,B.E,2010,0.300000000000001,-0.600000000000001,-562278,1001826,1.27908602401091,0.991676376333402
NL113,B.E,2011,-0.699999999999999,0.300000000000001,-1475700,-562278,-0.731225945223996,1.27908602401091
NL113,B.E,2012,-0.199999999999999,-0.699999999999999,-1917417,-1475700,0.0329784933343573,-0.731225945223996
NL113,B.E,2013,-0.600000000000001,-0.199999999999999,223521,-1917417,-0.407155913932663,0.0329784933343573
NL113,B.E,2014,-1.1,-0.600000000000001,335999,223521,-1.21403221189257,-0.407155913932663
NL113,B.E,2015,0.100000000000001,-1.1,-357177,335999,-0.0385338093509571,-1.21403221189257
NL113,B.E,2016,-0.600000000000001,0.100000000000001,614219,-357177,-1.0676880706317,-0.0385338093509571
NL113,B.E,2017,-0.299999999999997,-0.600000000000001,-237327,614219,-0.727331162175054,-1.0676880706317
NL113,B.E,2018,0.5,-0.299999999999997,-187836,-237327,0.0670458110743189,-0.727331162175054
NL113,B.E,2019,-0.100000000000001,0.5,309639,-187836,-0.548700384499421,0.0670458110743189
NL113,B.E,2020,0,-0.100000000000001,-373070,309639,0.586258468713855,-0.548700384499421
NL113,B.E,2021,0,0,-387607,-373070,0.0178480881695739,0.586258468713855
NL113,B.E,2022,-2.2,0,-168555,-387607,-2.59491980151056,0.0178480881695739
NL113,B.E,2023,0.399999999999999,-2.2,-58948,-168555,0.295470626950335,-2.59491980151056
NL124,B.E,2006,-0.600000000000001,,-532650,,-0.553870406581849,
NL124,B.E,2007,0.100000000000001,-0.600000000000001,299384,-532650,-0.129699574641051,-0.553870406581849
NL124,B.E,2008,-0.900000000000002,0.100000000000001,42260,299384,-1.08201032709356,-0.129699574641051
NL124,B.E,2009,0.300000000000001,-0.900000000000002,75988,42260,1.96759487720438,-1.08201032709356
NL124,B.E,2010,-1.8,0.300000000000001,-339891,75988,-0.83914965831493,1.96759487720438
