NUTS_ID,avg_d_emissions,avg_d_employment,n_obs
DE40A,-4883.27777777778,0.0555555555555556,18
DE40B,-15275.7777777778,-0.0055555555555555,18
DE40C,1650.66666666667,0.55,18
DE40D,-581,0.05,18
DE40E,-3120.61111111111,0.0444444444444445,18
DE40F,-927.6,0.0800000000000001,10
DE40G,-941992.055555556,-0.00555555555555559,18
DE40H,-2846.5,0.244444444444444,18
DE40I,-81887.6666666667,0.0111111111111112,18
DE501,-167995.277777778,-0.344444444444445,18
DE502,-549.444444444444,-0.0111111111111111,18
DE600,-65128,0.616666666666667,18
DE711,-2485.5,0.0166666666666666,18
DE712,-63441,-0.472222222222222,18
DE713,-14992.3333333333,-0.283333333333333,6
DE714,-19872.0555555556,0.0166666666666667,18
DE715,-604.888888888889,-0.0611111111111111,18
DE716,-253.444444444444,-0.0555555555555557,18
DE717,-23689.8333333333,-0.55,18
DE719,-263492.388888889,-0.0944444444444444,18
DE71A,-190.055555555556,-0.122222222222222,18
DE71B,-1142.94444444444,-0.0999999999999999,18
DE71C,-1414.27777777778,-0.266666666666667,18
DE71E,-2133.61111111111,-0.0833333333333332,18
DE721,-4411.77777777778,0.116666666666667,18
DE722,-17620.7777777778,-0.0777777777777775,18
DE723,7146.77777777778,0.111111111111111,18
DE724,-1415.77777777778,0.116666666666667,18
DE731,-6785.11111111111,0.138888888888889,18
DE732,-1190.77777777778,0.0833333333333335,18
DE733,1875.38888888889,-0.0777777777777778,18
DE734,4124,0.122222222222222,18
DE735,-1610.22222222222,-0.0111111111111111,18
DE736,-2055.83333333333,0.0222222222222221,18
DE737,-5827.83333333333,-0.116666666666667,18
DE803,-72783.5555555556,0.144444444444444,18
DE804,-7076.22222222222,0.0555555555555556,18
DE80J,-7743.72222222222,-0.00555555555555557,18
DE80K,-3625.55555555556,0.0888888888888889,18
DE80M,185.277777777778,0.0277777777777778,18
DE80N,-5043.22222222222,0.0333333333333333,18
DE80O,-895.944444444445,0.205555555555555,18
DE911,-9753.11111111111,0.0777777777777777,18
DE912,-9873.66666666667,-0.0111111111111111,18
DE913,-49853.7222222222,0.788888888888889,18
DE916,-6256.88888888889,-0.0611111111111111,18
DE917,-174213.8,-0.0666666666666668,15
DE918,-697,0.0666666666666668,18
DE91A,-184992.944444444,-0.038888888888889,18
DE91B,980.611111111111,0.0222222222222223,18
DE91C,-6022.94444444445,-0.172222222222222,18
DE922,-2191.33333333333,0.183333333333333,18
DE923,-5710.05555555556,-0.0777777777777777,18
DE925,-1511.77777777778,-0.0722222222222222,18
DE926,-4487.33333333333,0.0333333333333333,18
DE927,-21881.5555555556,0.0444444444444444,18
DE928,-5800.05555555556,-0.0666666666666667,18
DE929,-50293.2777777778,0.216666666666667,18
DE931,-572.277777777778,0.111111111111111,18
DE932,-1079,-0.0499999999999997,2
DE935,-4353.44444444444,0.00555555555555549,18
DE936,-510.625,0.0499999999999999,8
DE937,-949.833333333333,0.0277777777777778,18
DE938,-3546.77777777778,0.038888888888889,18
DE939,-39145.3888888889,0.0111111111111111,18
DE93A,1803.83333333333,0.00555555555555559,18
DE93B,-295.888888888889,0.0833333333333333,18
DE941,-1522.25,-0.125,4
DE942,-1210.72222222222,-0.0333333333333333,18
DE944,-11193.8888888889,-0.238888888888889,18
DE945,-248083.777777778,0.0111111111111111,18
DE946,-99.6666666666667,0.122222222222222,18
DE947,-1885.61111111111,0.105555555555556,18
DE948,2289.5,0.55,18
DE949,11813.6111111111,0.783333333333333,18
DE94A,1465.27777777778,-0.0166666666666668,18
DE94B,-4996.88888888889,0.216666666666667,18
DE94C,-2632.5,3.54654577310814e-17,18
DE94D,14104.7777777778,0.205555555555555,18
DE94E,-4863.27777777778,0.461111111111111,18
DE94F,-1046.27777777778,0.555555555555556,18
DE94G,-69788.8333333333,0.161111111111111,18
DE94H,-669.944444444445,0.00555555555555556,18
DEA11,-20280.9444444444,-0.466666666666667,18
DEA12,-376347.333333333,-0.333333333333333,18
DEA13,-6125.22222222222,-0.388888888888889,18
DEA14,-35339.7222222222,-0.25,18
DEA15,-4270.625,-0.3375,8
DEA16,-1565.72222222222,-0.0833333333333333,18
DEA17,-3435.55555555556,-0.0444444444444444,18
DEA18,-1116,-0.700000000000003,1
DEA1A,-42678.2222222222,-0.444444444444445,18
DEA1B,-1986.05555555556,0.0333333333333334,18
DEA1C,-31830.1111111111,-0.461111111111111,18
DEA1D,-1123365.77777778,-0.227777777777778,18
DEA1E,-4237.05555555556,-0.266666666666667,18
DEA1F,-442686.444444445,-0.277777777777778,18
DEA22,-714.111111111111,-0.305555555555556,18
DEA23,-105282.666666667,-0.499999999999999,18
DEA24,-22791.5,0.05,18
DEA26,-11190.8333333333,-0.0777777777777777,18
DEA27,-1110486.11111111,0.111111111111111,18
DEA28,-17079.8333333333,-0.0833333333333334,18
DEA29,-3990.27777777778,0.161111111111111,18
DEA2A,-1522.81818181818,0.172727272727273,11
DEA2B,-20646.6666666667,-0.1,18
DEA2C,-64904.8888888889,0.0944444444444442,18
DEA2D,-641033.833333334,-0.233333333333333,18
DEA31,-1013.55555555556,-0.283333333333333,18
DEA32,-510292.388888889,-0.161111111111111,18
DEA33,363.5,-0.0388888888888888,18
DEA34,-1228,0.522222222222222,18
DEA35,-2678.44444444444,0.233333333333333,18
DEA36,-209585.5,-0.533333333333334,18
DEA37,-227064.444444444,0.25,18
DEA38,-23680.6111111111,0.188888888888888,18
DEA41,-13069.6111111111,-0.177777777777778,18
DEA42,-1319.05555555556,1.07777777777778,18
DEA43,-1012.33333333333,-0.0722222222222218,18
DEA44,-7372.5,-0.0500000000000001,18
DEA45,-4629.44444444444,0.116666666666667,18
DEA46,-197759.166666667,0.194444444444445,18
DEA47,-10479.6666666667,0.138888888888889,18
DEA51,-11867.1666666667,-0.611111111111111,18
DEA52,-87610.7777777778,0.0944444444444445,18
DEA53,-44288,-0.227777777777778,18
DEA54,-212653.888888889,-0.088888888888889,18
DEA55,-184364.555555556,-0.333333333333333,18
DEA56,10868,-0.238888888888889,18
DEA57,-14547.2222222222,0.0222222222222224,18
DEA58,-126945.833333333,-0.461111111111111,18
DEA59,-3301,0.161111111111111,18
DEA5A,120.611111111111,-0.122222222222223,18
DEA5B,-219131.166666667,0.0777777777777775,18
DEA5C,-254485,0.105555555555555,18
DEB11,-890.944444444444,0.122222222222222,18
DEB13,-335.111111111111,0.0499999999999999,18
DEB14,-10268.2777777778,-0.0111111111111111,18
DEB15,-964.611111111111,-0.0555555555555556,18
DEB17,-5702.55555555556,0.0611111111111112,18
DEB1A,-5312.44444444444,-0.061111111111111,18
